pdb_id,length,avg_plddt,tm_score
10FS,172,0.8376492857933044,0.90948
10GA,177,0.8234269022941589,0.93677
10HY,297,0.8703441023826599,0.98263
10HZ,297,0.8703441023826599,0.97797
10LR,275,0.8793759346008301,0.98453
10MV,275,0.8793759346008301,0.98782
10MW,275,0.8793759346008301,0.98838
10QS,275,0.8793759346008301,0.97991
10RY,302,0.8828404545783997,0.95974
10XA,99,0.8251308798789978,0.93942
10XD,93,0.7934361100196838,0.9005
10XF,97,0.8339107632637024,0.96066
10YO,99,0.8247926831245422,0.90601
10ZG,398,0.8846946358680725,0.97659
11AD,377,0.8733909130096436,0.95873
11AP,358,0.8781670928001404,0.98119
11CH,146,0.8576251268386841,0.94841
11CI,215,0.8194792866706848,0.72124
11GZ,220,0.8369724154472351,0.93469
11IF,189,0.8339239358901978,0.98559
11MQ,135,0.8612775206565857,0.98815
11NQ,187,0.7416009902954102,0.87476
11OY,360,0.9031769633293152,0.94927
11TU,284,0.8771312832832336,0.96903
11YV,363,0.36492088437080383,0.37079
12AF,306,0.5899540781974792,0.59037
12AK,133,0.830970287322998,0.96205
12FA,104,0.7976263165473938,0.90134
12KZ,184,0.8030123114585876,0.95259
12LA,184,0.8030123114585876,0.9522
12LB,184,0.8030123114585876,0.95336
12VR,306,0.5848703384399414,0.6082
13DZ,210,0.8640343546867371,0.98173
13EB,210,0.8640343546867371,0.98196
13IQ,212,0.8652489185333252,0.95338
13LW,293,0.8144622445106506,0.96759
13LX,293,0.8144622445106506,0.96416
13MK,354,0.6424920558929443,0.81262
13ML,354,0.6424920558929443,0.81375
13MP,354,0.6424920558929443,0.81757
13MR,354,0.6424920558929443,0.81423
13MS,354,0.6424920558929443,0.81236
13MT,354,0.6424920558929443,0.81227
13MU,354,0.6424920558929443,0.81144
13MY,354,0.6424920558929443,0.81131
13MZ,354,0.6424920558929443,0.81463
13ND,354,0.6424920558929443,0.81194
13NE,354,0.6424920558929443,0.81303
13NF,354,0.6424920558929443,0.8133
13NG,354,0.6424920558929443,0.81333
13NI,354,0.6424920558929443,0.8117
13NJ,354,0.6424920558929443,0.81267
13NK,354,0.6424920558929443,0.81162
13NN,354,0.6424920558929443,0.81289
13NO,354,0.6424920558929443,0.81611
13NP,354,0.6424920558929443,0.81285
13NT,354,0.6424920558929443,0.81113
13NU,354,0.6424920558929443,0.81313
13OA,354,0.6424920558929443,0.81268
13OB,354,0.6424920558929443,0.81485
13OD,354,0.6424920558929443,0.81245
13OF,354,0.6424920558929443,0.81444
13OH,354,0.6424920558929443,0.81372
13OJ,354,0.6424920558929443,0.8128
13OK,354,0.6424920558929443,0.81191
13OL,354,0.6424920558929443,0.81241
13ON,354,0.6424920558929443,0.81309
13OO,354,0.6424920558929443,0.81118
13OT,354,0.6424920558929443,0.8131
13OW,354,0.6424920558929443,0.81255
13OX,354,0.6424920558929443,0.81434
13OZ,354,0.6424920558929443,0.81506
13PB,354,0.6424920558929443,0.81315
13PC,354,0.6424920558929443,0.81379
13PD,354,0.6424920558929443,0.81633
13PJ,354,0.6424920558929443,0.81546
13PO,354,0.6424920558929443,0.81381
13PP,354,0.6424920558929443,0.81404
13PQ,354,0.6424920558929443,0.81519
13PS,354,0.6424920558929443,0.81424
13PT,354,0.6424920558929443,0.81638
13PV,354,0.6424920558929443,0.81309
13PW,354,0.6424920558929443,0.81575
13PX,354,0.6424920558929443,0.81482
13QC,354,0.6424920558929443,0.81327
13QF,354,0.6424920558929443,0.81022
13QK,354,0.6424920558929443,0.81256
13QL,354,0.6424920558929443,0.81176
13QM,354,0.6424920558929443,0.81183
13QN,354,0.6424920558929443,0.8158
13QP,354,0.6424920558929443,0.81249
13QR,354,0.6424920558929443,0.81261
13QS,354,0.6424920558929443,0.8113
13QT,354,0.6424920558929443,0.81303
13QV,354,0.6424920558929443,0.81131
13QW,354,0.6424920558929443,0.81247
13QX,354,0.6350371837615967,0.78722
13RA,354,0.6424920558929443,0.81188
13RC,354,0.6424920558929443,0.81315
13RE,354,0.6424920558929443,0.81121
